"","lon","lat"
"1",127.02688247842,37.2011762119823
"2",127.007484744028,37.1929718888107
"3",126.994610141555,37.1761502390557
"4",127.006111453097,37.1687639411024
"5",127.023964235193,37.1653441142033
"6",127.028084107984,37.1533050925018
"7",127.027740785252,37.1533050925018
"8",127.033748933072,37.1378430827102
"9",127.045250244615,37.126347151235
"10",127.056923217524,37.1329164687896
"11",127.066192931304,37.1304530415345
"12",127.066707915403,37.127031481754
"13",127.082157438371,37.1262102843887
"14",127.093143768103,37.1297687410387
"15",127.089023895312,37.1359272145003
"16",127.097263640895,37.1367483064245
"17",127.102585144283,37.1452324019103
"18",127.095032044165,37.158777612594
"19",127.07391769611,37.1647969273609
"20",127.071378036092,37.1834404576049
"21",127.065541549638,37.1853551210803
"22",127.068803115598,37.1909620706064
"23",127.047002122077,37.196295124052
